lgacode,lganame,statecode,source,statename,capitalcity,geozone,longitude,latitude
14010,Isi-Uzo,EN,WHO,Enugu,Enugu,South East,7.88259697,6.858291626
401,Bakori,KT,EHA-OLUSEYE,Katsina,Katsina,North West,7.3075431,11.85213668
14012,Nkanu West,EN,WHO,Enugu,Enugu,South East,7.581467152,6.396860123
422,Kurfi,KT,EHA-OLUSEYE,Katsina,Katsina,North West,7.43556997,12.8601081
14015,Udenu,EN,WHO,Enugu,Enugu,South East,7.692279816,6.851824284
11008,Ishielu,EB,WHO,Ebonyi,Abakaliki,South East,7.847112063,6.443958895
408,Danja,KT,EHA-SAMUEL,Katsina,Katsina,North West,7.456294883,11.5443388
19010,Kaduna South,KD,EHA-TOSIN,Kaduna,Kaduna,North West,7.417047325,10.55787395
106,Chibok,BR,Oluseye.Abraham,Borno,Maiduguri,North East,12.82828254,10.9635499
425,Malumfashi,KT,EHA-MICHAEL,Katsina,Katsina,North West,7.730607808,12.04283444
20032,Rogo,KN,EHA-SAMUEL,Kano,Kano,North West,7.878935959,11.65435961
3022,Obot Akara,AK,WHO,Akwa Ibom,Uyo,South South,7.679695129,5.303296089
20034,Kiru,KN,EHA-SAMUEL,Kano,Kano,North West,8.195296391,11.79586125
402,Batagarawa,KT,EHA-SAMUEL,Katsina,Katsina,North West,7.714030698,13.02529362
14004,Enugu North,EN,WHO,Enugu,Enugu,South East,7.630680084,6.448190689
17008,Ikeduru,IM,GRID,Imo,Owerri,South East,7.175085377,5.492226693
19009,Kaduna North,KD,EHA-OLUSEYE,Kaduna,Kaduna,North West,7.460862706,10.61223909
19018,Makarfi,KD,EHA-OLUSEYE,Kaduna,Kaduna,North West,7.956417187,11.46663781
429,Musawa,KT,EHA-TOSIN,Katsina,Katsina,North West,7.830659669,12.26669807
3028,Ukanafun,AK,WHO,Akwa Ibom,Uyo,South South,7.743298054,4.980801105
14001,Aninri,EN,WHO,Enugu,Enugu,South East,7.668315411,6.060618877
11001,Abakaliki,EB,WHO,Ebonyi,Abakaliki,South East,8.285691771,6.256398826
417,Kafur,KT,EHA-MICHAEL,Katsina,Katsina,North West,7.765302378,11.8576773
31033,Surulere,OY,EHA_ABRAHAM,Oyo,Ibandan,South West,4.495918751,7.943399906
19012,Kajuru,KD,EHA-MICHAEL,Kaduna,Kaduna,North West,7.870751387,10.52558503
428,Matazu,KT,eHA-Tosin,Katsina,Katsina,North West,7.586095671,12.3479738
3026,Oruk Anam,AK,WHO,Akwa Ibom,Uyo,South South,7.794308186,4.888054848
3024,Onna,AK,WHO,Akwa Ibom,Uyo,South South,7.884891987,4.716220856
406,Charanchi,KT,EHA-OLUSEYE,Katsina,Katsina,North West,7.746943787,12.71592732
14016,Udi,EN,WHO,Enugu,Enugu,South East,7.28531599,6.669361591
20029,Tudun Wada,KN,EHA-SAMUEL,Kano,Kano,North West,8.767499999,11.4713
20044,Kumbotso,KN,EHA-SAMUEL,Kano,Kano,North West,8.455372268,11.9538794
430,Rimi,KT,EHA-SAMUEL,Katsina,Katsina,North West,7.824779008,13.08625233
3014,Ikot Ekpene,AK,WHO,Akwa Ibom,Uyo,South South,7.764188766,5.14925909
14014,Oji-River,EN,WHO,Enugu,Enugu,South East,7.245460987,6.275623322
420,Kankia,KT,EHA-OLUSEYE,Katsina,Katsina,North West,7.838943233,12.62095696
18019,Yankwashi,JI,eHA-Tosin,Jigawa,Dutse,North West,8.563190273,12.83413875
3015,Ini,AK,WHO,Akwa Ibom,Uyo,South South,7.876111984,5.368900776
11013,Onicha,EB,WHO,Ebonyi,Abakaliki,South East,7.889246155,6.059707539
31012,Ibarapa East,OY,EHA-OLUSEYE,Oyo,Ibandan,South West,3.588673098,7.681796157
3018,Mkpat Enin,AK,WHO,Akwa Ibom,Uyo,South South,7.807024956,4.877768993
3001,Abak,AK,WHO,Akwa Ibom,Uyo,South South,7.810515881,5.103460789
426,Mani,KT,EHA-MICHAEL,Katsina,Katsina,North West,7.943984729,12.92465322
3007,Etinan,AK,WHO,Akwa Ibom,Uyo,South South,7.882977009,4.793542862
3031,Uyo,AK,WHO,Akwa Ibom,Uyo,South South,7.843232155,5.04254818
427,Mashi,KT,eHA-Tosin,Katsina,Katsina,North West,8.066008233,13.28926133
20017,Gwarzo,KN,EHA-OLUSEYE,Kano,Kano,North West,7.904149244,11.97018455
3010,Ibiono Ibom,AK,WHO,Akwa Ibom,Uyo,South South,7.88037014,5.36679554
20041,Karaye,KN,EHA-OLUSEYE,Kano,Kano,North West,8.080407493,11.8596912
3009,Ibesikpo Asutan,AK,WHO,Akwa Ibom,Uyo,South South,7.993620872,4.968735218
11005,Ezza North,EB,WHO,Ebonyi,Abakaliki,South East,8.040032984,6.352239507
20013,Shanono,KN,EHA-SAMUEL,Kano,Kano,North West,7.880119714,12.22365038
27023,Suleja,NI,EHA_ABRAHAM,Niger,Minna,North Central,7.207512856,9.27450943
33014,Khana,RI,WHO,Rivers,Port Harcourt,South South,7.501562119,4.807817936
20008,Tsanyawa,KN,NGA_TEAMGIS,Kano,Kano,North West,8.114332477,12.38087755
3003,Eket,AK,WHO,Akwa Ibom,Uyo,South South,8.022169113,4.692512989
19007,Jema'A,KD,eHA-Tosin,Kaduna,Kaduna,North West,8.318807408,9.608167663
3027,Udung Uko,AK,WHO,Akwa Ibom,Uyo,South South,8.328660208,4.72037572
31006,Ibadan North,OY,EHA_ABRAHAM,Oyo,Ibandan,South West,3.901512312,7.384810596
19022,Zangon Kataf,KD,EHA-MICHAEL,Kaduna,Kaduna,North West,8.175706381,10.2258924
31007,Ibadan North East,OY,WHO,Oyo,Ibandan,South West,3.939458822,7.356919416
415,Ingawa,KT,EHA-OLUSEYE,Katsina,Katsina,North West,8.14162553,12.8110182
3030,Urue Offong/Oruko,AK,WHO,Akwa Ibom,Uyo,South South,8.21452713,4.780639172
20038,Bagwai,KN,EHA-MICHAEL,Kano,Kano,North West,8.15071431,12.19349696
3004,Esit Eket,AK,WHO,Akwa Ibom,Uyo,South South,8.09214592,4.690193176
20035,Kura,KN,EHA-TOSIN,Kano,Kano,North West,8.510597924,11.84354622
20026,Kabo,KN,EHA-SAMUEL,Kano,Kano,North West,8.134250502,11.99126011
31021,Ogbomosho North,OY,WHO,Oyo,Ibandan,South West,4.30703603,8.063975254
19020,Sanga,KD,EHA-MICHAEL,Kaduna,Kaduna,North West,8.5843109,9.493239646
433,Sandamu,KT,eHA-Tosin,Katsina,Katsina,North West,8.418879732,13.02646893
3005,Essien Udim,AK,WHO,Akwa Ibom,Uyo,South South,7.65090704,5.181818008
3002,Eastern Obolo,AK,EHA-SAMUEL,Akwa Ibom,Uyo,South South,7.819071758,4.5402501
404,Baure,KT,EHA-OLUSEYE,Katsina,Katsina,North West,8.95519395,12.85562304
20031,Bichi,KN,EHA-OLUSEYE,Kano,Kano,North West,8.185300627,12.35768912
20001,Tarauni,KN,EHA-SAMUEL,Kano,Kano,North West,8.54260612,11.98681307
20042,Kunchi,KN,EHA-OLUSEYE,Kano,Kano,North West,8.299041274,12.52953443
20003,Garun Malam,KN,EHA-OLUSEYE,Kano,Kano,North West,8.406911199,11.74723792
23007,Idah,KO,WHO,Kogi,Lokoja,North Central,6.732390404,7.039344788
20005,Rimin Gado,KN,EHA-OLUSEYE,Kano,Kano,North West,8.295643043,12.02795764
710,Karasuwa,YO,EHA-OLUSEYE,Yobe,Damaturu,North East,10.92959995,13.10161464
31015,Irepo,OY,WHO,Oyo,Ibandan,South West,4.210460186,8.970032692
20021,Dawakin Tofa,KN,EHA-SAMUEL,Kano,Kano,North West,8.515785783,12.2628552
20015,Tofa,KN,EHA-OLUSEYE,Kano,Kano,North West,8.267255762,12.11001507
20025,Bebeji,KN,EHA-SAMUEL,Kano,Kano,North West,8.297177099,11.72098299
31027,Orelope,OY,WHO,Oyo,Ibandan,South West,3.977229118,8.87553978
20036,Madobi,KN,EHA-SAMUEL,Kano,Kano,North West,8.404245999,11.90640433
434,Zango,KT,EHA-TOSIN,Katsina,Katsina,North West,8.516387939,13.08361053
14005,Enugu South,EN,WHO,Enugu,Enugu,South East,7.581467152,6.396860123
19017,Lere,KD,EHA-TOSIN,Kaduna,Kaduna,North West,8.432590147,10.73115712
31022,Ogbomosho South,OY,WHO,Oyo,Ibandan,South West,4.273138645,8.088983881
20039,Makoda,KN,EHA-OLUSEYE,Kano,Kano,North West,8.494372266,12.59710498
20040,Minjibir,KN,EHA-SAMUEL,Kano,Kano,North West,8.704367831,12.26560067
